Relative File Path	Character / Subject Name	Real Actor / Actress	Franchise / Show
good/MiniMax_H3_00994_.mp4	Dr. Doug Ross	George Clooney	ER
good/MiniMax_H3_01004_.mp4	Harry Callahan	Clint Eastwood	Dirty Harry
good/MiniMax_H3_01008_.mp4	Patrick Jane	Simon Baker	The Mentalist
good/MiniMax_H3_01009_.mp4	John Reese	Jim Caviezel	Person of Interest
good/MiniMax_H3_01010_.mp4	Harold Finch	Michael Emerson	Person of Interest
good/MiniMax_H3_01013_.mp4	Special Agent Leroy Jethro Gibbs	Mark Harmon	NCIS
good/MiniMax_H3_01014_.mp4	Anthony DiNozzo	Michael Weatherly	NCIS
good/MiniMax_H3_01015_.mp4	Ziva David	Cote de Pablo	NCIS
good/MiniMax_H3_01016_.mp4	Abby Sciuto	Pauley Perrette	NCIS
good/MiniMax_H3_01019_.mp4	John Nolan	Nathan Fillion	The Rookie
good/MiniMax_H3_01024_.mp4	Richard Castle	Nathan Fillion	Castle
good/MiniMax_H3_01025_.mp4	Kate Beckett	Stana Katic	Castle
good/MiniMax_H3_01026_.mp4	Jax Teller	Charlie Hunnam	Sons of Anarchy
good/MiniMax_H3_01028_.mp4	Carrie Mathison	Claire Danes	Homeland
good/MiniMax_H3_01029_.mp4	Nicholas Brody	Damian Lewis	Homeland
good/MiniMax_H3_01031_.mp4	Raymond Reddington	James Spader	The Blacklist
good/MiniMax_H3_01033_.mp4	Javier Peña	Pedro Pascal	Narcos
good/MiniMax_H3_01039_.mp4	Sergeant Terry Jeffords	Terry Crews	Brooklyn Nine-Nine, a massive muscular bodybuilder with a shaved bald head, wearing a tight dress shirt and suspenders over his huge chest, holding a plastic cup of yogurt with a tiny spoon.
good/MiniMax_H3_01040_.mp4	Detective Rosa Diaz	Stephanie Beatriz	Brooklyn Nine-Nine, a tough intense detective with wild dark curly hair framing her face, wearing a dark leather motorcycle jacket and gold badge on her belt.
good/MiniMax_H3_01049_.mp4	Spike	James Marsters	Buffy the Vampire Slayer, a rebellious vampire with bleached-blonde slicked hair, cheekbones, wearing a dark leather duster coat over a black shirt.
good/MiniMax_H3_01052_.mp4	Saul Berenson	Mandy Patinkin	Homeland, a senior CIA official with a thick grey beard and silver hair, dark glasses, wearing a dark suit and sweater.
good/MiniMax_H3_01054_.mp4	Jason Bourne	Matt Damon	The Bourne Identity, a lethal operative with short dark hair, piercing hyper-focused eyes, wearing a dark grey jacket over a black t-shirt.
good/MiniMax_H3_01057_.mp4	Ragnar Lothbrok	Travis Fimmel	Vikings, a Viking king with piercing ice-blue eyes, braided hair, scruffy beard, wearing leather armor and holding an iron hand axe.
good/MiniMax_H3_01060_.mp4	Bjorn Ironside	Alexander Ludwig	Vikings, a massive Viking warrior with braided blonde hair, beard, tattoos, wearing fur-trimmed leather armor, holding a heavy broadsword.
good/MiniMax_H3_01063_.mp4	Tommy Shelby	Cillian Murphy	Peaky Blinders, a gangster with piercing icy blue eyes, undercut hair, tweed flat cap, heavy wool coat over a three-piece suit, smoking a cigarette.
good/MiniMax_H3_01065_.mp4	Michael Scofield	Wentworth Miller	Prison Break, a man with buzzcut hair, pale blue eyes, wearing a grey long-sleeve shirt with intricate blueprint tattoos visible on his arms.
good/MiniMax_H3_01069_.mp4	Frank Martin	Jason Statham	The Transporter
good/MiniMax_H3_01072_.mp4	Max Rockatansky	Mel Gibson	Mad Max
good/MiniMax_H3_01073_.mp4	Bryan Mills	Liam Neeson	Taken
good/MiniMax_H3_01076_.mp4	Phil Wenneck	Bradley Cooper	The Hangover
good/MiniMax_H3_01079_.mp4	Hank Moody	David Duchovny	Californication
good/MiniMax_H3_01080_.mp4	Ace Ventura	Jim Carrey	Ace Ventura
good/MiniMax_H3_01095_.mp4	Edward Cullen	Robert Pattinson	Twilight
good/MiniMax_H3_01096_.mp4	Bella Swan	Kristen Stewart	Twilight
good/MiniMax_H3_01098_.mp4	Mathayus	Dwayne Johnson	The Scorpion King
good/MiniMax_H3_01139_.mp4	Diana Prince / Wonder Woman	Gal Gadot	Wonder Woman
good/MiniMax_H3_01142_.mp4	Jane Smith	Angelina Jolie	Mr. & Mrs. Smith
good/MiniMax_H3_01181_.mp4	Celeste Wright	Nicole Kidman	Big Little Lies
good/MiniMax_H3_01182_.mp4	Madeline Martha Mackenzie	Reese Witherspoon	Big Little Lies
good/MiniMax_H3_01198_.mp4	Eve Polastri	Sandra Oh	Killing Eve
good/MiniMax_H3_01204_.mp4	Annalise Keating	Viola Davis	How to Get Away with Murder
good/MiniMax_H3_01221_.mp4	Annette Hargrove	Reese Witherspoon	Cruel Intentions
good/MiniMax_H3_01228_.mp4	Natalie Cook	Cameron Diaz	Charlie's Angels
good/MiniMax_H3_01229_.mp4	Dylan Sanders	Drew Barrymore	Charlie's Angels
good/MiniMax_H3_01230_.mp4	Alex Munday	Lucy Liu	Charlie's Angels
good/MiniMax_H3_01267_.mp4	Nicolas Cage	Nicolas Cage	Real Person / Celebrity
good/MiniMax_H3_01268_.mp4	Castor Troy	Nicolas Cage	Face/Off
good/MiniMax_H3_01269_.mp4	Johnny Blaze / Ghost Rider	Nicolas Cage	Ghost Rider
good/MiniMax_H3_01270_.mp4	Jack Black	Jack Black	Real Person / Celebrity
good/MiniMax_H3_01273_.mp4	Taylor Swift	Taylor Swift	Real Person / Celebrity
good/MiniMax_H3_01274_.mp4	John Travolta	John Travolta	Real Person / Celebrity
good/MiniMax_H3_01275_.mp4	Sean Archer	John Travolta	Face/Off
good/MiniMax_H3_01279_.mp4	Julia Roberts	Julia Roberts	Real Person / Celebrity
good/MiniMax_H3_01281_.mp4	Morgan Freeman	Morgan Freeman	Real Person / Celebrity
good/MiniMax_H3_01282_.mp4	Ellis Boyd 'Red' Redding	Morgan Freeman	The Shawshank Redemption
good/MiniMax_H3_01283_.mp4	Ben Affleck	Ben Affleck	Real Person / Celebrity
good/MiniMax_H3_01284_.mp4	Matt Damon	Matt Damon	Bourne Franchise
good/MiniMax_H3_01285_.mp4	Robin Williams	Robin Williams	Real Person / Celebrity
good/MiniMax_H3_01286_.mp4	Angelina Jolie	Angelina Jolie	Lara Croft: Tomb Raider
good/MiniMax_H3_01288_.mp4	Sandra Bullock	Sandra Bullock	Real Person / Celebrity
good/MiniMax_H3_01289_.mp4	Tom Hanks	Tom Hanks	Forrest Gump
good/MiniMax_H3_01290_.mp4	Samuel L. Jackson	Samuel L. Jackson	Marvel's Avengers
good/MiniMax_H3_01291_.mp4	John Travolta	John Travolta	Real Person / Celebrity
good/MiniMax_H3_01293_.mp4	Jennifer Love Hewitt	Jennifer Love Hewitt	Real Person / Celebrity
good/MiniMax_H3_01295_.mp4	Anthony Hopkins	Anthony Hopkins	The Silence of the Lambs
good/MiniMax_H3_01297_.mp4	Brad Pitt	Brad Pitt	Real Person / Celebrity
good/MiniMax_H3_01298_.mp4	Robert De Niro	Robert De Niro	Taxi Driver
good/MiniMax_H3_01299_.mp4	Kevin Costner	Kevin Costner	Real Person / Celebrity
good/MiniMax_H3_01300_.mp4	Tom Cruise	Tom Cruise	Mission: Impossible
good/MiniMax_H3_01301_.mp4	Michael Douglas	Michael Douglas	Real Person / Celebrity
good/MiniMax_H3_01302_.mp4	Denzel Washington	Denzel Washington	Real Person / Celebrity
good/MiniMax_H3_01303_.mp4	Jim Carrey	Jim Carrey	Ace Ventura
good/MiniMax_H3_01304_.mp4	Jack Nicholson	Jack Nicholson	Real Person / Celebrity
good/MiniMax_H3_01306_.mp4	Tom Selleck	Tom Selleck	Magnum, P.I.
good/MiniMax_H3_01307_.mp4	Jackie Chan	Jackie Chan	Real Person / Celebrity
good/MiniMax_H3_01309_.mp4	Paul Rudd	Paul Rudd	Real Person / Celebrity
good/MiniMax_H3_01310_.mp4	Will Ferrell	Will Ferrell	Real Person / Celebrity
good/MiniMax_H3_01311_.mp4	Ben Stiller	Ben Stiller	Real Person / Celebrity
good/MiniMax_H3_01312_.mp4	Owen Wilson	Owen Wilson	Real Person / Celebrity
good/MiniMax_H3_01313_.mp4	Vince Vaughn	Vince Vaughn	Real Person / Celebrity
good/MiniMax_H3_01314_.mp4	Harrison Ford	Harrison Ford	Indiana Jones
good/MiniMax_H3_01316_.mp4	Adam Sandler	Adam Sandler	Real Person / Celebrity
good/MiniMax_H3_01317_.mp4	Ashton Kutcher	Ashton Kutcher	Real Person / Celebrity
good/MiniMax_H3_01318_.mp4	Grant Gustin	Grant Gustin	Real Person / Celebrity
good/MiniMax_H3_01319_.mp4	Tom Hiddleston	Tom Hiddleston	Marvel's Avengers
good/MiniMax_H3_01320_.mp4	Natalie Portman	Natalie Portman	Real Person / Celebrity
good/MiniMax_H3_01321_.mp4	Tim Allen	Tim Allen	Real Person / Celebrity
good/MiniMax_H3_01325_.mp4	Bruce Wayne / Batman	Ben Affleck	Batman v Superman
good/MiniMax_H3_01326_.mp4	Jason Bourne	Matt Damon	Bourne Franchise
good/MiniMax_H3_01327_.mp4	Daniel Hillard / Mrs. Doubtfire	Robin Williams	Mrs. Doubtfire
good/MiniMax_H3_01328_.mp4	Lara Croft	Angelina Jolie	Lara Croft: Tomb Raider
good/MiniMax_H3_01330_.mp4	Gracie Hart	Sandra Bullock	Miss Congeniality
good/MiniMax_H3_01331_.mp4	Forrest Gump	Tom Hanks	Forrest Gump
good/MiniMax_H3_01332_.mp4	Jules Winnfield	Samuel L. Jackson	Pulp Fiction
good/MiniMax_H3_01333_.mp4	Vincent Vega	John Travolta	Pulp Fiction
good/MiniMax_H3_01335_.mp4	Melinda Gordon	Jennifer Love Hewitt	Ghost Whisperer
good/MiniMax_H3_01336_.mp4	Dylan Sanders	Drew Barrymore	Charlie's Angels
good/MiniMax_H3_01337_.mp4	Dr. Hannibal Lecter	Anthony Hopkins	The Silence of the Lambs
good/MiniMax_H3_01338_.mp4	The Narrator	Edward Norton	Fight Club
good/MiniMax_H3_01339_.mp4	Tyler Durden	Brad Pitt	Fight Club
good/MiniMax_H3_01341_.mp4	John Dutton	Kevin Costner	Yellowstone
good/MiniMax_H3_01342_.mp4	Maverick / Pete Mitchell	Tom Cruise	Top Gun
good/MiniMax_H3_01343_.mp4	Gordon Gekko	Michael Douglas	Wall Street
good/MiniMax_H3_01344_.mp4	Alonzo Harris	Denzel Washington	Training Day
good/MiniMax_H3_01345_.mp4	Ace Ventura	Jim Carrey	Ace Ventura
good/MiniMax_H3_01347_.mp4	Alvy Singer	Woody Allen	Annie Hall
good/MiniMax_H3_01349_.mp4	Inspector Lee	Jackie Chan	Rush Hour
good/MiniMax_H3_01351_.mp4	Scott Lang / Ant-Man	Paul Rudd	Marvel's Avengers
good/MiniMax_H3_01352_.mp4	Ron Burgundy	Will Ferrell	Anchorman
good/MiniMax_H3_01353_.mp4	Derek Zoolander	Ben Stiller	Zoolander
good/MiniMax_H3_01354_.mp4	Hansel	Owen Wilson	Zoolander
good/MiniMax_H3_01355_.mp4	Jeremy Grey	Vince Vaughn	Wedding Crashers
good/MiniMax_H3_01356_.mp4	Indiana Jones	Harrison Ford	Indiana Jones
good/MiniMax_H3_01357_.mp4	Seth	Jonah Hill	Superbad
good/MiniMax_H3_01358_.mp4	Happy Gilmore	Adam Sandler	Happy Gilmore
good/MiniMax_H3_01359_.mp4	Michael Kelso	Ashton Kutcher	That '70s Show
good/MiniMax_H3_01360_.mp4	Barry Allen / The Flash	Grant Gustin	The Flash
good/MiniMax_H3_01361_.mp4	Loki	Tom Hiddleston	Marvel's Avengers
good/MiniMax_H3_01363_.mp4	Tim "The Tool Man" Taylor	Tim Allen	Home Improvement
good/MiniMax_H3_01364_.mp4	Rick O'Connell	Brendan Fraser	The Mummy
good/MiniMax_H3_01369_.mp4	William Munny	Clint Eastwood	Unforgiven
good/MiniMax_H3_01370_.mp4	Dr. Robert Ford	Anthony Hopkins	Westworld
good/MiniMax_H3_01376_.mp4	Dr. Robert Ford	Anthony Hopkins	Westworld
good/MiniMax_H3_01401_.mp4	Sylvester Stallone	Sylvester Stallone	Rambo
good/MiniMax_H3_01402_.mp4	Rocky Balboa	Sylvester Stallone	Rocky
good/MiniMax_H3_01407_.mp4	Idris Elba	Idris Elba	Real Person / Celebrity
good/MiniMax_H3_01408_.mp4	John Luther	Idris Elba	Luther
good/MiniMax_H3_01421_.mp4	Adam Driver	Adam Driver	Star Wars
good/MiniMax_H3_01422_.mp4	Kylo Ren	Adam Driver	Star Wars
good/MiniMax_H3_01427_.mp4	Daniel Craig	Daniel Craig	James Bond
good/MiniMax_H3_01428_.mp4	James Bond	Daniel Craig	Casino Royale
good/MiniMax_H3_01435_.mp4	Gordon Ramsay	Gordon Ramsay	Hell's Kitchen
good/MiniMax_H3_01436_.mp4	Chef Gordon Ramsay	Gordon Ramsay	Hell's Kitchen
good/MiniMax_H3_01440_.mp4	Geralt of Rivia	Henry Cavill	The Witcher
good/MiniMax_H3_01441_.mp4	Hugh Jackman	Hugh Jackman	Real Person / Actor
good/MiniMax_H3_01442_.mp4	Wolverine	Hugh Jackman	X-Men
good/MiniMax_H3_01443_.mp4	Jake Gyllenhaal	Jake Gyllenhaal	Nightcrawler
good/MiniMax_H3_01444_.mp4	Lou Bloom	Jake Gyllenhaal	Nightcrawler
good/MiniMax_H3_01445_.mp4	Jamie Foxx	Jamie Foxx	Django Unchained
good/MiniMax_H3_01446_.mp4	Django	Jamie Foxx	Django Unchained
good/MiniMax_H3_01451_.mp4	Joe Rogan	Joe Rogan	Real Person / Actor
good/MiniMax_H3_01452_.mp4	Joe Rogan	Joe Rogan	The Joe Rogan Experience
good/MiniMax_H3_01453_.mp4	John Cena	John Cena	Peacemaker
good/MiniMax_H3_01454_.mp4	Peacemaker	John Cena	Peacemaker
good/MiniMax_H3_01456_.mp4	Dr. Walter Bishop	John Noble	Fringe
good/MiniMax_H3_01459_.mp4	Kanye West	Kanye West	Real Person / Actor
good/MiniMax_H3_01460_.mp4	Ye (played by Kanye West) live in concert	Ye (played by Kanye West) live in concert	Real Person / Actor
good/MiniMax_H3_01462_.mp4	Billy Butcher	Karl Urban	The Boys
good/MiniMax_H3_01463_.mp4	Leonardo DiCaprio	Leonardo DiCaprio	The Wolf of Wall Street
good/MiniMax_H3_01464_.mp4	Jordan Belfort	Leonardo DiCaprio	The Wolf of Wall Street
